id	topic_id	thread_id	type	formula
q_1	A.301	4235721	title	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""\infty"" class=""ltx_Math"" display=""block""><semantics><mi mathvariant=""normal"">∞</mi></semantics></math>"
q_2	A.301	4235721	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""A"" class=""ltx_Math"" display=""block""><semantics><mi>A</mi></semantics></math>"
q_3	A.301	4235721	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""m\times n"" class=""ltx_Math"" display=""block""><semantics><mrow><mi>m</mi><mo>×</mo><mi>n</mi></mrow></semantics></math>"
q_4	A.301	4235721	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""p=1"" class=""ltx_Math"" display=""block""><semantics><mrow><mi>p</mi><mo>=</mo><mn>1</mn></mrow></semantics></math>"
q_5	A.301	4235721	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""q=\infty"" class=""ltx_Math"" display=""block""><semantics><mrow><mi>q</mi><mo>=</mo><mi mathvariant=""normal"">∞</mi></mrow></semantics></math>"
q_6	A.301	4235721	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""\|A\|_{2}=\sqrt{\rho(A^{T}A)}"" class=""ltx_Math"" display=""block""><semantics><mrow><msub><mrow><mo>∥</mo><mi>A</mi><mo>∥</mo></mrow><mn>2</mn></msub><mo>=</mo><msqrt><mrow><mi>ρ</mi><mo>⁢</mo><mrow><mo stretchy=""false"">(</mo><mrow><msup><mi>A</mi><mi>T</mi></msup><mo>⁢</mo><mi>A</mi></mrow><mo stretchy=""false"">)</mo></mrow></mrow></msqrt></mrow></semantics></math>"
q_7	A.301	4235721	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""\begin{equation*}\|A\|_{2}\leq\sqrt{\|A\|_{1}\|A\|_{\infty}}\end{equation*}"" class=""ltx_Math"" display=""block""><semantics><mtext>≤∥A∥2⁢∥A∥1∥A∥∞</mtext></semantics></math>"
q_8	A.301	4235721	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""\displaystyle\frac{1}{\sqrt{n}}\|A\|_{\infty}\leq\|A\|_{2}\leq\sqrt{m}\|A\|_{\infty}"" class=""ltx_Math"" display=""inline""><semantics><mrow><mrow><mstyle displaystyle=""true""><mfrac><mn>1</mn><msqrt><mi>n</mi></msqrt></mfrac></mstyle><mo>⁢</mo><msub><mrow><mo>∥</mo><mi>A</mi><mo>∥</mo></mrow><mi mathvariant=""normal"">∞</mi></msub></mrow><mo>≤</mo><msub><mrow><mo>∥</mo><mi>A</mi><mo>∥</mo></mrow><mn>2</mn></msub><mo>≤</mo><mrow><msqrt><mi>m</mi></msqrt><mo>⁢</mo><msub><mrow><mo>∥</mo><mi>A</mi><mo>∥</mo></mrow><mi mathvariant=""normal"">∞</mi></msub></mrow></mrow></semantics></math>"
q_9	A.302	4233786	title	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""n"" class=""ltx_Math"" display=""block""><semantics><mi>n</mi></semantics></math>"
q_10	A.302	4233786	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""z=\sqrt[n]{s}e^{\frac{i\varphi}{n}}"" class=""ltx_Math"" display=""block""><semantics><mrow><mi>z</mi><mo>=</mo><mrow><mroot><mi>s</mi><mi>n</mi></mroot><mo>⁢</mo><msup><mi>e</mi><mfrac><mrow><mi>i</mi><mo>⁢</mo><mi>φ</mi></mrow><mi>n</mi></mfrac></msup></mrow></mrow></semantics></math>"
