id	topic_id	thread_id	type	slt
q_1	A.1	3062860	title	"<?xml version=""1.0"" encoding=""UTF-8""?> <math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""c"" display=""block"">   <mi>c</mi> </math> "
q_2	A.1	3062860	title	"<?xml version=""1.0"" encoding=""UTF-8""?> <math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""f(x)=\frac{x^{2}+x+c}{x^{2}+2x+c}"" display=""block"">   <mrow>     <mrow>       <mi>f</mi>       <mo>⁢</mo>       <mrow>         <mo stretchy=""false"">(</mo>         <mi>x</mi>         <mo stretchy=""false"">)</mo>       </mrow>     </mrow>     <mo>=</mo>     <mfrac>       <mrow>         <msup>           <mi>x</mi>           <mn>2</mn>         </msup>         <mo>+</mo>         <mi>x</mi>         <mo>+</mo>         <mi>c</mi>       </mrow>       <mrow>         <msup>           <mi>x</mi>           <mn>2</mn>         </msup>         <mo>+</mo>         <mrow>           <mn>2</mn>           <mo>⁢</mo>           <mi>x</mi>         </mrow>         <mo>+</mo>         <mi>c</mi>       </mrow>     </mfrac>   </mrow> </math> "
q_3	A.1	3062860	title	"<?xml version=""1.0"" encoding=""UTF-8""?> <math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""[-1,-\frac{1}{3}]"" display=""block"">   <mrow>     <mo stretchy=""false"">[</mo>     <mrow>       <mo>-</mo>       <mn>1</mn>     </mrow>     <mo>,</mo>     <mrow>       <mo>-</mo>       <mfrac>         <mn>1</mn>         <mn>3</mn>       </mfrac>     </mrow>     <mo stretchy=""false"">]</mo>   </mrow> </math> "
q_4	A.1	3062860	question	"<?xml version=""1.0"" encoding=""UTF-8""?> <math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""f(x)=\frac{x^{2}+x+c}{x^{2}+2x+c}"" display=""block"">   <mrow>     <mrow>       <mi>f</mi>       <mo>⁢</mo>       <mrow>         <mo stretchy=""false"">(</mo>         <mi>x</mi>         <mo stretchy=""false"">)</mo>       </mrow>     </mrow>     <mo>=</mo>     <mfrac>       <mrow>         <msup>           <mi>x</mi>           <mn>2</mn>         </msup>         <mo>+</mo>         <mi>x</mi>         <mo>+</mo>         <mi>c</mi>       </mrow>       <mrow>         <msup>           <mi>x</mi>           <mn>2</mn>         </msup>         <mo>+</mo>         <mrow>           <mn>2</mn>           <mo>⁢</mo>           <mi>x</mi>         </mrow>         <mo>+</mo>         <mi>c</mi>       </mrow>     </mfrac>   </mrow> </math> "
q_5	A.1	3062860	question	"<?xml version=""1.0"" encoding=""UTF-8""?> <math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""c"" display=""block"">   <mi>c</mi> </math> "
q_6	A.1	3062860	question	"<?xml version=""1.0"" encoding=""UTF-8""?> <math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""f(x)"" display=""block"">   <mrow>     <mi>f</mi>     <mo>⁢</mo>     <mrow>       <mo stretchy=""false"">(</mo>       <mi>x</mi>       <mo stretchy=""false"">)</mo>     </mrow>   </mrow> </math> "
q_7	A.1	3062860	question	"<?xml version=""1.0"" encoding=""UTF-8""?> <math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""[-1,-\frac{1}{3}]"" display=""block"">   <mrow>     <mo stretchy=""false"">[</mo>     <mrow>       <mo>-</mo>       <mn>1</mn>     </mrow>     <mo>,</mo>     <mrow>       <mo>-</mo>       <mfrac>         <mn>1</mn>         <mn>3</mn>       </mfrac>     </mrow>     <mo stretchy=""false"">]</mo>   </mrow> </math> "
q_8	A.2	3069579	title	"<?xml version=""1.0"" encoding=""UTF-8""?> <math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""f^{\prime}(x)=f(x+1)"" display=""block"">   <mrow>     <mrow>       <msup>         <mi>f</mi>         <mo>′</mo>       </msup>       <mo>⁢</mo>       <mrow>         <mo stretchy=""false"">(</mo>         <mi>x</mi>         <mo stretchy=""false"">)</mo>       </mrow>     </mrow>     <mo>=</mo>     <mrow>       <mi>f</mi>       <mo>⁢</mo>       <mrow>         <mo stretchy=""false"">(</mo>         <mrow>           <mi>x</mi>           <mo>+</mo>           <mn>1</mn>         </mrow>         <mo stretchy=""false"">)</mo>       </mrow>     </mrow>   </mrow> </math> "
q_9	A.2	3069579	question	"<?xml version=""1.0"" encoding=""UTF-8""?> <math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""\frac{df}{dx}=f(x+1)"" display=""block"">   <mrow>     <mfrac>       <mrow>         <mi>d</mi>         <mo>⁢</mo>         <mi>f</mi>       </mrow>       <mrow>         <mi>d</mi>         <mo>⁢</mo>         <mi>x</mi>       </mrow>     </mfrac>     <mo>=</mo>     <mrow>       <mi>f</mi>       <mo>⁢</mo>       <mrow>         <mo stretchy=""false"">(</mo>         <mrow>           <mi>x</mi>           <mo>+</mo>           <mn>1</mn>         </mrow>         <mo stretchy=""false"">)</mo>       </mrow>     </mrow>   </mrow> </math> "
q_10	A.3	3073397	title	"<?xml version=""1.0"" encoding=""UTF-8""?> <math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""\sqrt{5}"" display=""block"">   <msqrt>     <mn>5</mn>   </msqrt> </math> "
q_11	A.3	3073397	title	"<?xml version=""1.0"" encoding=""UTF-8""?> <math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""10^{-10}"" display=""block"">   <msup>     <mn>10</mn>     <mrow>       <mo>-</mo>       <mn>10</mn>     </mrow>   </msup> </math> "
q_12	A.3	3073397	question	"<?xml version=""1.0"" encoding=""UTF-8""?> <math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""\sqrt{5}"" display=""block"">   <msqrt>     <mn>5</mn>   </msqrt> </math> "
q_13	A.3	3073397	question	"<?xml version=""1.0"" encoding=""UTF-8""?> <math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""10^{-10}"" display=""block"">   <msup>     <mn>10</mn>     <mrow>       <mo>-</mo>       <mn>10</mn>     </mrow>   </msup> </math> "
q_14	A.3	3073397	question	"<?xml version=""1.0"" encoding=""UTF-8""?> <math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""\sqrt{5}"" display=""block"">   <msqrt>     <mn>5</mn>   </msqrt> </math> "
q_15	A.3	3073397	question	"<?xml version=""1.0"" encoding=""UTF-8""?> <math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""x"" display=""block"">   <mi>x</mi> </math> "
q_16	A.3	3073397	question	"<?xml version=""1.0"" encoding=""UTF-8""?> <math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""f(x)"" display=""block"">   <mrow>     <mi>f</mi>     <mo>⁢</mo>     <mrow>       <mo stretchy=""false"">(</mo>       <mi>x</mi>       <mo stretchy=""false"">)</mo>     </mrow>   </mrow> </math> "
q_17	A.3	3073397	question	"<?xml version=""1.0"" encoding=""UTF-8""?> <math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""a"" display=""block"">   <mi>a</mi> </math> "
q_18	A.3	3073397	question	"<?xml version=""1.0"" encoding=""UTF-8""?> <math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""b"" display=""block"">   <mi>b</mi> </math> "
q_19	A.3	3073397	question	"<?xml version=""1.0"" encoding=""UTF-8""?> <math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""[a,b]"" display=""block"">   <mrow>     <mo stretchy=""false"">[</mo>     <mi>a</mi>     <mo>,</mo>     <mi>b</mi>     <mo stretchy=""false"">]</mo>   </mrow> </math> "
q_20	A.3	3073397	question	"<?xml version=""1.0"" encoding=""UTF-8""?> <math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""f(a)"" display=""block"">   <mrow>     <mi>f</mi>     <mo>⁢</mo>     <mrow>       <mo stretchy=""false"">(</mo>       <mi>a</mi>       <mo stretchy=""false"">)</mo>     </mrow>   </mrow> </math> "
q_21	A.3	3073397	question	"<?xml version=""1.0"" encoding=""UTF-8""?> <math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""f(b)"" display=""block"">   <mrow>     <mi>f</mi>     <mo>⁢</mo>     <mrow>       <mo stretchy=""false"">(</mo>       <mi>b</mi>       <mo stretchy=""false"">)</mo>     </mrow>   </mrow> </math> "
q_22	A.4	3083227	question	"<?xml version=""1.0"" encoding=""UTF-8""?> <math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""\sum_{k=0}^{n}\binom{n}{k}k"" display=""block"">   <mrow>     <munderover>       <mo largeop=""true"" movablelimits=""false"" symmetric=""true"">∑</mo>       <mrow>         <mi>k</mi>         <mo>=</mo>         <mn>0</mn>       </mrow>       <mi>n</mi>     </munderover>     <mrow>       <merror class=""ltx_ERROR undefined undefined"">         <mtext>\binom</mtext>       </merror>       <mo>⁢</mo>       <mi>n</mi>       <mo>⁢</mo>       <mi>k</mi>       <mo>⁢</mo>       <mi>k</mi>     </mrow>   </mrow> </math> "
q_23	A.4	3083227	question	"<?xml version=""1.0"" encoding=""UTF-8""?> <math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""n2^{n-1}"" display=""block"">   <mrow>     <mi>n</mi>     <mo>⁢</mo>     <msup>       <mn>2</mn>       <mrow>         <mi>n</mi>         <mo>-</mo>         <mn>1</mn>       </mrow>     </msup>   </mrow> </math> "
