id	topic_id	thread_id	type	formula
q_1	A.201	3666538	question	n\times n
q_2	A.202	3739651	question	D
q_3	A.202	3739651	question	F \subset D \subset E
q_4	A.202	3739651	question	E
q_5	A.202	3739651	question	F
q_6	A.202	3739651	question	[E:F]
q_7	A.202	3739651	question	F \subset E \tag 1
q_8	A.202	3739651	question	[E:F] < \infty; \tag 2
q_9	A.202	3739651	question	R
q_10	A.202	3739651	question	F \subset R \subset E, \tag 3
q_11	A.202	3739651	question	R
q_12	A.203	3813416	title	-(-x)= x
q_13	A.203	3813416	question	+(+x) = +x
q_14	A.203	3813416	question	-(-x) = +x
q_15	A.203	3813416	question	-x
q_16	A.203	3813416	question	-(-x)
q_17	A.203	3813416	question	-x = 5
q_18	A.203	3813416	question	-(-x) = -5
q_19	A.203	3813416	question	(-x)*(-x)=x
q_20	A.204	3835592	question	X, Y, Z
q_21	A.204	3835592	question	X, Y
q_22	A.204	3835592	question	Z
q_23	A.204	3835592	question	X
q_24	A.204	3835592	question	Z
q_25	A.204	3835592	question	\pi, \pi': X\rightarrow Y
q_26	A.204	3835592	question	\delta :  Y\rightarrow Y\times_Z Y
q_27	A.204	3835592	question	(\pi, \pi'): X\rightarrow Y\times_Z Y.
q_28	A.204	3835592	question	\pi, \pi'
q_29	A.204	3835592	question	\pi, \pi'
q_30	A.205	3537843	question	x^n=n^x
q_31	A.205	3537843	question	\in
q_32	A.205	3537843	question	x^n=n^x
q_33	A.206	3600466	title	\left(1+\frac{1}{n}\right)^n
q_34	A.206	3600466	question	\lim_{n \rightarrow \infty} \left(1+\frac{1}{n}\right)^n=e
q_35	A.206	3600466	question	\lim_{n \rightarrow \infty} \left(1+\frac{1}{n}\right)^n=e
q_36	A.207	3584984	title	\sum_{k \geq 0}k!/N^k
q_37	A.207	3584984	question	f(N)
q_38	A.207	3584984	question	 f(N) \sim \sum_{k \geq 0}\frac{k!}{N^k} 
q_39	A.207	3584984	question	\sim
q_40	A.207	3584984	question	f
q_41	A.207	3584984	question	g
q_42	A.207	3584984	question	f \sim g \implies f = O(g) \text{ and } f=\Omega(g)
q_43	A.207	3584984	question	N
q_44	A.207	3584984	question	 f(N) \sim 1 + \frac{1}{N} + \frac{1}{2N^2} + \frac{1}{6N^3} + O\bigg(\frac{1}{N^4}\bigg) 
q_45	A.207	3584984	question	 (N \text{ choose } r) \sim \frac{N^r}{r!} 
q_46	A.208	3599793	title	H_n^{(k)}
q_47	A.208	3599793	question	H_n^{(k)}=\sum_{i=1}^n \frac{1}{i^k}
q_48	A.208	3599793	question	H_n^{(k)}=n^{-k}    \left(-\frac{n}{k-1}+\frac{1}{2}-\frac{k}{12    n}+O\left(\frac{1}{n^3}\right)\right)    +\zeta (k)
q_49	A.209	3496045	title	\int_0^\infty e^{-hx^2}\;\mathrm{d}x
q_50	A.209	3496045	question	h>0
q_51	A.209	3496045	question	\frac{\sqrt{\pi}}{2\sqrt{h}}
q_52	A.210	3499694	title	x(1-x) \leq \frac14
q_53	A.210	3499694	question	x \in \mathbb{R}
q_54	A.210	3499694	question	f(x) = x(1-x)
q_55	A.210	3499694	question	x= \frac12
q_56	A.210	3499694	question	f''(\frac12) < 0
q_57	A.210	3499694	question	x(1-x) \leq \frac14 = f(\frac12)
q_58	A.211	3507554	title	\int\sqrt{x^2\sqrt{x^3\sqrt{x^4\sqrt{x^5\sqrt{x^6\sqrt{x^7\sqrt{x^8\ldots}}}}}}}\,dx
q_59	A.211	3507554	question	\int\sqrt{x\cdot \sqrt[3]{x\cdot \sqrt[4]{x\cdot\sqrt[5]{x\ldots } }}}\,dx\tag{1}
q_60	A.211	3507554	question	\int\sqrt{x^2\sqrt{x^3\sqrt{x^4\sqrt{x^5\sqrt{x^6\sqrt{x^7\sqrt{x^8\ldots}}}}}}}\,dx\tag{2}
q_61	A.211	3507554	question	x^{e-2}
q_62	A.211	3507554	question	\int x^\frac{2}{2}\cdot x^\frac{3}{4}\cdot x^\frac{4}{8}\cdot x^\frac{5}{16}\ldots\,dx
q_63	A.211	3507554	question	\int x^{\frac{2}{2}+\frac{3}{4}+\frac{4}{8}+\frac{5}{16}+\ldots}
q_64	A.211	3507554	question	\sum^{\infty}_{n=1}\frac{n+1}{2^n}\tag{3} 
q_65	A.211	3507554	question	\sum^{\infty}_{n=1}\frac{n}{2^n}+\sum^{\infty}_{n=1}\frac{1}{2^n} 
q_66	A.211	3507554	question	n=1
q_67	A.211	3507554	question	x^3,x>0
q_68	A.211	3507554	question	\sum^{\infty}_{n=1}\frac{n}{2^n}
q_69	A.211	3507554	question	\sum^{\infty}_{n=1}\frac{n}{2^n}
q_70	A.212	3570972	question	f(x)=\sum_{n=0}^{\infty}(2n+1)(2x)^{2n}
q_71	A.212	3570972	question	f(1/4)
q_72	A.212	3570972	question	f(1/4)=\sum_{n=0}^{\infty}\frac{2n+1}{2^{2n}}
q_73	A.213	3632074	title	\sum_{x=1}^{\infty} \frac{(x-1)}{2^{x}}
q_74	A.213	3632074	question	\sum_{x=1}^{\infty} \frac{(x-1)}{2^{x}}
q_75	A.214	3700299	title	\int\limits_{-\infty}^\infty e^{-\pi x^2}dx = 1
q_76	A.214	3700299	question	\int\limits_{-\infty}^\infty e^{-\pi x^2}dx = 1
q_77	A.214	3700299	question	\int\limits_{-\infty}^\infty e^{-\pi x^2}dx = \lim\limits_{t\to\infty}\int\limits_{-t}^t e^{-\pi x^2}dx
q_78	A.214	3700299	question	e^{-\pi x^2}
q_79	A.214	3700299	question	\int\limits_{-\infty}^\infty e^{-\pi x^2}dx = \lim\limits_{t\to\infty}\int\limits_{-t}^t e^{-\pi x^2}dx = 2\lim\limits_{t\to\infty}\int\limits_0^t e^{-\pi x^2}dx
q_80	A.214	3700299	question	\lim\limits_{t\to\infty}\int\limits_0^t e^{-\pi x^2}dx=\frac{1}{2}
q_81	A.214	3700299	question	e^{-x^2}
q_82	A.214	3700299	question	\frac{1}{2}
q_83	A.214	3700299	question	|\int\limits_0^t e^{-\pi x^2}dx-\frac{1}{2}| = |\int\limits_0^t\sum\limits_{n=0}^\infty\frac{\pi^n\cdot x^{2n}}{n!}dx - \frac{1}{2}| = |\sum\limits_{n=0}^\infty\frac{\pi^n\cdot t^{2n+1}}{n!\cdot(n+1)}-\frac{1}{2}|
q_84	A.214	3700299	question	t\to\infty
q_85	A.215	3792530	question	f(x)
q_86	A.215	3792530	question	f'(x)
q_87	A.215	3792530	question	f(x)
q_88	A.215	3792530	question	A
q_89	A.215	3792530	question	f'(x)
q_90	A.215	3792530	question	A=\bigcup_{n=1}^{\infty}A_n
q_91	A.215	3792530	question	A_n
q_92	A.215	3792530	question	n=n_0
q_93	A.215	3792530	question	A_{n_0}
q_94	A.215	3792530	question	(p, q)
q_95	A.215	3792530	question	I
q_96	A.215	3792530	question	(p, q)
q_97	A.215	3792530	question	I \cap A_{n_0} \neq \phi
q_98	A.215	3792530	question	A_{n_0}
q_99	A.215	3792530	question	(p, q)
q_100	A.215	3792530	question	A_{n_0}
q_101	A.215	3792530	question	(p, q)
q_102	A.215	3792530	question	f'(x)
q_103	A.215	3792530	question	(p, q)
q_104	A.216	3836576	title	\lim\limits_{t \to + \infty} \int_0^{+ \infty} \frac{ \mathrm d x}{e^x+ \sin tx} 
q_105	A.216	3836576	question	\lim_{t \to + \infty} \int_0^{+ \infty} \frac{ \mathrm d x}{e^x+ \sin (tx)}
q_106	A.216	3836576	question	t >0
q_107	A.216	3836576	question	t >0
q_108	A.216	3836576	question	e^x + \sin tx > e^x-1 > x>0
q_109	A.216	3836576	question	x \to + \infty
q_110	A.216	3836576	question	e^{-x}
q_111	A.216	3836576	question	t=2n \pi
q_112	A.216	3836576	question	2 \pi
q_113	A.216	3836576	question	\int_0^{+ \infty} \frac{ \mathrm d x}{e^x+ \sin (2n \pi x)} = \sum_{k=0}^\infty \int_{k /n}^{(k+1) /n} \frac{ \mathrm d x}{e^x+ \sin (2n \pi x)}
q_114	A.216	3836576	question	u = 2n \pi x
q_115	A.216	3836576	question	\begin{align}\sum_{k=0}^\infty \frac{1}{2n \pi} \int_{2k \pi}^{(2k+2) \pi} \frac{ \mathrm d u}{e^{u/2n \pi}+ \sin (u)} &\ge \sum_{k=0}^\infty \frac{1}{2n \pi} \int_{2k \pi}^{(2k+2) \pi} \frac{ \mathrm d u}{e^{(2k+2) \pi/2n \pi}+ \sin (u)} \\&= \sum_{k=0}^\infty \frac{1}{2n \pi} \int_{2k \pi}^{(2k+2) \pi} \frac{ \mathrm d u}{e^{(k+1)/n}+ \sin (u)}\end{align}
q_116	A.216	3836576	question	u=(2k+2) \pi
q_117	A.216	3836576	question	2 \pi
q_118	A.216	3836576	question	C>1
q_119	A.216	3836576	question	\int_0^{2 \pi} \frac{ \mathrm d u}{C+ \sin (u)} = \frac{2 \pi}{\sqrt{C^2-1}}
q_120	A.216	3836576	question	\begin{align}\sum_{k=0}^\infty \frac{1}{2n \pi} \int_{2k \pi}^{(2k+2) \pi} \frac{ \mathrm d u}{e^{(k+1)/n}+ \sin (u)} &= \sum_{k=0}^\infty \frac{1}{2n \pi} \frac{2 \pi}{\sqrt{e^{2(k+1)/n} -1 }} \\&= \frac{1}{n} \sum_{k=0}^\infty \frac{1}{\sqrt{e^{2(k+1)/n} -1 }}\end{align}
